title,author,viaf_url,country,date_banned,source,note
Men of Good Will,"Romains, Jules",http://viaf.org/viaf/37053052,Ireland,1932,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Impregnable Women,"Linklater, Eric",http://viaf.org/viaf/44337081,Ireland,1934,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Imperial City,"Rice, Elmer",http://viaf.org/viaf/12388721,Ireland,1937,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Back Street,"Hurst, Fannie",http://viaf.org/viaf/34585051,Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Berlin Alexanderplatz,"Döblin, Alfred",http://viaf.org/viaf/51688166,USA,1929,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,
The Waste Land,"Eliot, T. S.",http://viaf.org/viaf/56609282,USA,1922,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,Not banned but suppressed
A Passage to India,"Forster, E. M.",http://viaf.org/viaf/31996364,USA,1924,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,Not banned but suppressed
Jude the Obscure,"Hardy, Thomas",http://viaf.org/viaf/54148778,England,1895,https://archive.org/details/literaturesuppre00sova_0/page/86/mode/2up,Removed from circulating libraries
Maggie: A Girl of the Streets,"Crane, Stephen",http://viaf.org/viaf/100175928,USA,1893,https://books.google.at/books?id=gDqsCQAAQBAJ&pg=PA2510&lpg=PA2510&dq=stephen+crane+banned+censor+comstock&source=bl&ots=_8B_0sHm3O&sig=ACfU3U22yaVrE9ZiK7bWZfajbc3q7iMPgw&hl=de&sa=X&ved=2ahUKEwjKp7Gm49qEAxVv8QIHHXpGAPs4ChDoAXoECAgQAw#v=onepage&q=stephen%20crane%20banned%20censor%20comstock&f=false,
More Pricks Than Kicks,"Beckett, Samuel",http://viaf.org/viaf/7386737,Ireland,1934,https://sites.nd.edu/irish-hesburgh/censorship/,
The Bright Temptation,"Clarke, Austin",http://viaf.org/viaf/54194438,Ireland,1932,https://sites.nd.edu/irish-hesburgh/censorship/,
My life and loves,"Harris, Frank",http://viaf.org/viaf/120702927,USA,1926,https://archive.org/details/literaturesuppre00sova_0/page/132/mode/2up,
Coming from the Fair,"Hoult, Norah",http://viaf.org/viaf/47124150,Ireland,1937,https://sites.nd.edu/irish-hesburgh/censorship/,
Ragged Banners,"Mannin, Ethel",http://viaf.org/viaf/109549388,Ireland,1931,https://sites.nd.edu/irish-hesburgh/censorship/,
Mary Lavelle,"O'Brien, Kate",http://viaf.org/viaf/14890496,Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
Windfalls,"O'Casey, Sean",http://viaf.org/viaf/12319997,Ireland,1934,https://sites.nd.edu/irish-hesburgh/censorship/,
Dutch Interior,"O'Connor, Frank",http://viaf.org/viaf/39396585,Ireland,1940,https://sites.nd.edu/irish-hesburgh/censorship/,
Bird Alone,"Ó Faoláin, Seán",http://viaf.org/viaf/59087224,Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
The House of Gold,"O'Flaherty, Liam",http://viaf.org/viaf/110057173,Ireland,1930,https://sites.nd.edu/irish-hesburgh/censorship/,
Going Native,"Gogarty, Oliver St. John",http://viaf.org/viaf/32004745,Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
Julie,"Stuart, Francis",http://viaf.org/viaf/92675428,Ireland,1939,https://sites.nd.edu/irish-hesburgh/censorship/,
Dragon Seed,"Buck, Pearl S.",http://viaf.org/viaf/91868694,Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
The Stars Look Down,"Cronin, A. J.",http://viaf.org/viaf/29726795,Ireland,1935,https://sites.nd.edu/irish-hesburgh/censorship/,
I'll Never Be Young Again,"Du Maurier, Daphne",http://viaf.org/viaf/24600806,Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
"I, Claudius","Graves, Robert",http://viaf.org/viaf/68929835,Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
